refID,POI_ID,tag
o20210809801198,22291614,I
o20210809188783,22291615,I
o20210809797699,22291616,I
16663412,16663412,D
o20210809533577,16909077,I
o20210813878240,16386834,I
o20210809450650,22291619,I
22250629,22250629,U
20643090,20643090,D
14073534,14073534,U
18946079,18946079,D
16886664,16886664,D
o20210809168066,22291621,I
o20210809201134,22291622,I
o20210809547145,22291623,I
20645861,20645861,D
21626940,21626940,U
18728010,18728010,D
22185711,22185711,U
6981630,6981630,U
18368384,18368384,D
7234403,7234403,U
o20210809569186,22286208,I
o20210804863161,22280446,U
o20210809030322,22291633,I
o20210809380885,22291637,I
o20210809212813,22291638,I
22010400,22010400,D
o20210809922872,22291639,I
o20210809366790,22291640,I
o20210809736928,22291641,I
o20210809187832,22254780,U
o20210809023252,22291643,I
o20210809245241,22291644,I
o20210809178691,22291645,I
o20210809759707,22291646,I
o20210809591728,22291647,I
o20210809533704,22291648,I
18893910,18893910,D
18351107,18351107,D
21120120,21120120,D
o20210809101368,22291649,I
o20210809773563,22291632,I
o20210809021030,22285476,I
14302289,14302289,D
18929772,18929772,D
o20210809154494,22291652,I
o20210809925687,22291653,I
o20210809049852,22291654,I
4993785,4993785,U
o20210809903420,22291655,I
22242249,22242249,U
20763368,20763368,U
o20210810909814,확인안됨,I
o20210810091027,22291657,I
o20210810749121,POI없음,D
o20210810220204,20648874,I
324448,324448,D
8287177,8287177,U
o20210810057890,22291664,I
o20210810499380,22291669,I
o20210810637714,22291670,I
14184205,14184205,D
o20210810794166,22291672,I
11283425,11283425,U
o20210810701255,22291673,I
o20210810380301,21879618,I
o20210810921543,22273501,I
19452157,19452157,U
22175773,22175773,U
18704441,18704441,D
10805822,10805822,D
6204959,6204959,U
o20210810094143,22291676,U
o20210810329793,22291678,I
o20210810732226,22291711,I
o20210810706671,22291712,I
10269382,10269382,U
18307245,18307245,U
o20210810445346,14196044,D
o20210805915990,POI없음,D
o20210809883510,22291642,I
o20210811087034,22291719,I
o20210811763568,22291715,I
17413852,17413852,U
o20210811378530,22291716,I
16904633,16904633,U
o20210811703020,22291718,I
17178711,17178711,D
o20210811423336,22291720,I
21572245,21572245,U
o20210811732273,확인안됨,I
o20210811749046,22291732,I
19861502,19861502,D
16074986,16074986,D
o20210811708308,22291733,I
o20210811657780,22291714,I
18267525,18267525,U
o20210811387401,22291736,I
o20210811002872,22291734,I
o20210810518773,POI없음,D
o20210811948512,22291739,I
o20210811281829,POI없음,D
o20210811935772,22291740,I
22267042,22267042,D
o20210803521149,22286462,I
o20210811797210,POI없음,D
22147402,22147402,U
o20210811047917,POI없음,D
o20210811502403,22291748,I
o20210811897379,22291750,I
20173734,20173734,U
18267034,18267034,U
o20210811915901,POI없음,D
o20210811870234,22291753,I
o20210811041907,POI없음,D
o20210811250910,22291754,I
o20210811006051,7772641,D
6324088,6324088,U
18125469,18125469,U
o20210811740776,22291756,I
14662326,14662326,U
o20210811509639,22291757,I
16808037,16808037,U
17462851,17462851,U
6394257,6394257,U
o20210810986230,22291713,I
19469981,19469981,U
o20210812434564,22291758,I
KT2102393827193,POI없음,D
17747117,17747117,U
o20210812918648,11318175,I
17385364,17385364,U
22252804,22252804,U
22070572,22070572,U
o20210813251496,22291763,I
22198245,22198245,I
22209154,22209154,U
14218615,14218615,D
19225634,19225634,U
15838499,15838499,D
17105573,17105573,D
20262222,20262222,U
o20210813478283,16942345,I
8268003,8268003,U
20618901,20618901,D
17993402,17993402,U
o20210813993134,22291765,I
o20210813007939,22291767,I
o20210813823307,22291769,I
o20210813254268,22291771,I
o20210813840439,22291773,I
14846203,14846203,U
o20210813600194,22291775,I
20310883,20310883,D
o20210813245623,22291776,I
o20210811749187,22291737,I
o20210813363167,22291778,I
16239437,16239437,U
o20210813094239,POI없음,D
o20210813211092,22291780,I
o20210813353155,22291781,I
o20210813452498,22291782,I
o20210813422511,22291777,I
22034387,22034387,U
o20210813529386,22291783,I
o20210813898160,22291784,I
o20210813927123,22291785,I
o20210813128563,22291786,I
o20210813006441,22291779,I
o20210813588007,POI없음,D
o20210813775230,22291787,I
o20210813991159,22291788,I
o20210813530265,22291789,I
o20210813058867,22291790,I
844860,844860,U
o20210813772086,22291791,I
o20210813956190,22291792,I
o20210813464624,22291794,I
18978043,18978043,U
o20210813167264,POI없음,D
o20210813140365,22291800,I
